idOrder,scheduleDate,deliveryDate,diffDays,diffHours,provider,shippingDateSelectedByUser
1961224,2021-08-04 10:08:00,2021-08-07 03:08:00,2,65,800149695,2021-08-06
1961227,2021-08-04 10:08:00,2021-08-06 05:08:00,1,43,800149695,2021-08-06
1961250,2021-08-04 10:08:00,2021-08-06 21:08:00,2,59,800149695,2021-08-06
1961256,2021-08-04 10:08:00,2021-08-06 21:08:00,2,59,800149695,2021-08-06
1961261,2021-08-04 10:08:00,2021-08-07 03:08:00,2,65,800149695,2021-08-06
1961268,2021-08-04 10:08:00,2021-08-06 21:08:00,2,59,800149695,2021-08-06
1961273,2021-08-04 10:08:00,2021-08-06 05:08:00,1,43,800149695,2021-08-06
1961283,2021-08-04 10:08:00,2021-08-06 21:08:00,2,59,800149695,2021-08-06
1961293,2021-08-04 10:08:00,2021-08-06 21:08:00,2,59,800149695,2021-08-06
1961303,2021-08-04 10:08:00,2021-08-06 21:08:00,2,59,800149695,2021-08-06
1961320,2021-08-04 10:08:00,2021-08-07 03:08:00,2,65,800149695,2021-08-06
1961360,2021-08-04 10:08:00,2021-08-06 05:08:00,1,43,800149695,2021-08-06
1961361,2021-08-04 10:08:00,2021-08-06 21:08:00,2,59,800149695,2021-08-06
1961362,2021-08-04 10:08:00,2021-08-07 03:08:00,2,65,800149695,2021-08-06
1961363,2021-08-04 10:08:00,2021-08-06 21:08:00,2,59,800149695,2021-08-06
1961365,2021-08-04 10:08:00,2021-08-06 21:08:00,2,59,800149695,2021-08-06
1961404,2021-08-04 10:08:00,2021-08-06 21:08:00,2,59,800149695,2021-08-06
1961424,2021-08-04 10:08:00,2021-08-07 03:08:00,2,65,800149695,2021-08-06
1961425,2021-08-04 10:08:00,2021-08-06 21:08:00,2,59,800149695,2021-08-06
1961439,2021-08-04 10:08:00,2021-08-06 21:08:00,2,59,800149695,2021-08-06
1961449,2021-08-04 10:08:00,2021-08-06 21:08:00,2,59,800149695,2021-08-06
1961454,2021-08-04 10:08:00,2021-08-06 21:08:00,2,59,800149695,2021-08-06
1961460,2021-08-04 10:08:00,2021-08-06 21:08:00,2,59,800149695,2021-08-06
1961475,2021-08-04 10:08:00,2021-08-06 21:08:00,2,59,800149695,2021-08-06
1961493,2021-08-04 10:08:00,2021-08-06 21:08:00,2,59,800149695,2021-08-06
1961509,2021-08-04 10:08:00,2021-08-06 05:08:00,1,42,800149695,2021-08-06
1961518,2021-08-04 10:08:00,2021-08-06 21:08:00,2,59,800149695,2021-08-06
1961523,2021-08-04 10:08:00,2021-08-06 21:08:00,2,59,800149695,2021-08-06
1961529,2021-08-04 10:08:00,2021-08-06 05:08:00,1,43,800149695,2021-08-06
1961537,2021-08-04 10:08:00,2021-08-06 21:08:00,2,59,800149695,2021-08-06
1961553,2021-08-04 10:08:00,2021-08-06 21:08:00,2,59,800149695,2021-08-06
1961573,2021-08-04 10:08:00,2021-08-06 21:08:00,2,59,800149695,2021-08-06
1961581,2021-08-04 10:08:00,2021-08-06 21:08:00,2,59,800149695,2021-08-06
1961582,2021-08-04 10:08:00,2021-08-06 21:08:00,2,59,800149695,2021-08-06
1961596,2021-08-04 10:08:00,2021-08-06 21:08:00,2,59,800149695,2021-08-06
1961600,2021-08-04 10:08:00,2021-08-06 21:08:00,2,59,800149695,2021-08-06
1961601,2021-08-04 10:08:00,2021-08-06 21:08:00,2,59,800149695,2021-08-06
1961602,2021-08-04 10:08:00,2021-08-06 21:08:00,2,59,800149695,2021-08-06
1961609,2021-08-04 10:08:00,2021-08-06 21:08:00,2,59,800149695,2021-08-06
1961624,2021-08-04 10:08:00,2021-08-06 21:08:00,2,59,800149695,2021-08-06
1961647,2021-08-04 10:08:00,2021-08-06 21:08:00,2,59,800149695,2021-08-06
1961651,2021-08-04 10:08:00,2021-08-06 21:08:00,2,59,800149695,2021-08-06
1961658,2021-08-04 10:08:00,2021-08-06 21:08:00,2,58,800149695,2021-08-06
1961659,2021-08-04 10:08:00,2021-08-06 05:08:00,1,42,800149695,2021-08-06
1961666,2021-08-04 10:08:00,2021-08-05 08:08:00,0,21,800149695,2021-08-06
1961678,2021-08-04 10:08:00,2021-08-06 21:08:00,2,58,800149695,2021-08-06
1961682,2021-08-04 10:08:00,2021-08-06 21:08:00,2,58,800149695,2021-08-06
1961701,2021-08-04 11:08:00,NN,NN,NN,800149695,2021-08-06
1961712,2021-08-04 11:08:00,2021-08-05 08:08:00,0,21,800149695,2021-08-06
1961726,2021-08-04 11:08:00,2021-08-06 21:08:00,2,58,800149695,2021-08-06
1961734,2021-08-04 11:08:00,2021-08-06 21:08:00,2,58,800149695,2021-08-06
1961740,2021-08-04 11:08:00,2021-08-06 21:08:00,2,58,800149695,2021-08-06
1961744,2021-08-04 11:08:00,2021-08-06 21:08:00,2,58,800149695,2021-08-06
1961752,2021-08-04 11:08:00,2021-08-06 21:08:00,2,58,800149695,2021-08-06
1961768,2021-08-04 11:08:00,2021-08-06 21:08:00,2,58,800149695,2021-08-06
1961779,2021-08-04 11:08:00,2021-08-06 21:08:00,2,58,800149695,2021-08-06
1961784,2021-08-04 11:08:00,2021-08-06 21:08:00,2,58,800149695,2021-08-06
1961798,2021-08-04 11:08:00,2021-08-07 03:08:00,2,64,800149695,2021-08-06
1961808,2021-08-04 11:08:00,2021-08-06 21:08:00,2,58,800149695,2021-08-06
1961817,2021-08-04 11:08:00,2021-08-06 21:08:00,2,58,800149695,2021-08-06
1961826,2021-08-04 11:08:00,2021-08-06 21:08:00,2,58,800149695,2021-08-06
1961829,2021-08-04 11:08:00,2021-08-06 21:08:00,2,58,800149695,2021-08-06
1961841,2021-08-04 11:08:00,2021-08-07 03:08:00,2,64,800149695,2021-08-06
1961886,2021-08-04 11:08:00,2021-08-07 03:08:00,2,64,800149695,2021-08-06
1961896,2021-08-04 11:08:00,2021-08-19 13:08:00,15,362,800149695,2021-08-19
1947750,2021-08-02 08:08:00,2021-08-03 06:08:00,0,21,800149695,2021-08-04
1947757,2021-08-02 08:08:00,2021-08-04 17:08:00,2,56,800149695,2021-08-04
1947760,2021-08-02 08:08:00,2021-08-04 17:08:00,2,56,800149695,2021-08-04
1947761,2021-08-02 08:08:00,2021-08-04 17:08:00,2,56,800149695,2021-08-04
1947770,2021-08-02 09:08:00,2021-08-05 02:08:00,2,65,800149695,2021-08-04
1947776,2021-08-02 09:08:00,2021-08-04 17:08:00,2,56,800149695,2021-08-04
1947785,2021-08-02 09:08:00,2021-08-05 02:08:00,2,65,800149695,2021-08-04
